zip,county,city
27006,Davie,Advance
27007,Surry,Ararat
27009,Forsyth,Belews Creek
27010,Forsyth,Bethania
27011,Yadkin,Boonville
27012,Forsyth,Clemmons
27013,Rowan,Cleveland
27014,Davie,Cooleemee
27016,Stokes,Danbury
27017,Surry,Dobson
27018,Yadkin,East Bend
27019,Stokes,Germanton
27020,Yadkin,Hamptonville
27021,Stokes,King
27022,Stokes,Lawsonville
27023,Forsyth,Lewisville
27024,Surry,Lowgap
27025,Rockingham,Madison
27027,Rockingham,Mayodan
27028,Davie,Mocksville
27030,Surry,Mount Airy
27031,Surry,Mount Airy
27040,Forsyth,Pfafftown
27041,Surry,Pilot Mountain
27042,Stokes,Pine Hall
27043,Stokes,Pinnacle
27045,Forsyth,Rural Hall
27046,Stokes,Sandy Ridge
27047,Surry,Siloam
27048,Rockingham,Stoneville
27049,Surry,Toast
27050,Forsyth,Tobaccoville
27051,Forsyth,Walkertown
27052,Stokes,Walnut Cove
27053,Stokes,Westfield
27054,Rowan,Woodleaf
27055,Yadkin,Yadkinville
27094,Forsyth,Rural Hall
27098,Forsyth,Rural Hall
27099,Forsyth,Rural Hall
27101,Forsyth,Winston Salem
27102,Forsyth,Winston Salem
27103,Forsyth,Winston Salem
27104,Forsyth,Winston Salem
27105,Forsyth,Winston Salem
27106,Forsyth,Winston Salem
27107,Forsyth,Winston Salem
27108,Forsyth,Winston Salem
27109,Forsyth,Winston Salem
27110,Forsyth,Winston Salem
27111,Forsyth,Winston Salem
27113,Forsyth,Winston Salem
27114,Forsyth,Winston Salem
27115,Forsyth,Winston Salem
27116,Forsyth,Winston Salem
27117,Forsyth,Winston Salem
27120,Forsyth,Winston Salem
27127,Forsyth,Winston Salem
27130,Forsyth,Winston Salem
27150,Forsyth,Winston Salem
27151,Forsyth,Winston-salem
27152,Forsyth,Winston Salem
27155,Forsyth,Winston Salem
27156,Forsyth,Winston-salem
27157,Forsyth,Winston Salem
27198,Forsyth,Winston Salem
27199,Forsyth,Winston Salem
27201,Alamance,Alamance
27202,Alamance,Altamahaw
27203,Randolph,Asheboro
27204,Randolph,Asheboro
27205,Randolph,Asheboro
27207,Chatham,Bear Creek
27208,Chatham,Bennett
27209,Montgomery,Biscoe
27212,Caswell,Blanch
